Date,Month,Quarter,Year,Period
01-01-17,1,Q1 2017,2017,201701
01-02-17,1,Q1 2017,2017,201701
01-03-17,1,Q1 2017,2017,201701
01-04-17,1,Q1 2017,2017,201701
01-05-17,1,Q1 2017,2017,201701
01-06-17,1,Q1 2017,2017,201701
01-07-17,1,Q1 2017,2017,201701
01-08-17,1,Q1 2017,2017,201701
01-09-17,1,Q1 2017,2017,201701
01-10-17,1,Q1 2017,2017,201701
01-11-17,1,Q1 2017,2017,201701
01-12-17,1,Q1 2017,2017,201701
01-13-17,1,Q1 2017,2017,201701
01-14-17,1,Q1 2017,2017,201701
01-15-17,1,Q1 2017,2017,201701
01-16-17,1,Q1 2017,2017,201701
01-17-17,1,Q1 2017,2017,201701
01-18-17,1,Q1 2017,2017,201701
01-19-17,1,Q1 2017,2017,201701
01-20-17,1,Q1 2017,2017,201701
01-21-17,1,Q1 2017,2017,201701
01-22-17,1,Q1 2017,2017,201701
01-23-17,1,Q1 2017,2017,201701
01-24-17,1,Q1 2017,2017,201701
01-25-17,1,Q1 2017,2017,201701
01-26-17,1,Q1 2017,2017,201701
01-27-17,1,Q1 2017,2017,201701
01-28-17,1,Q1 2017,2017,201701
01-29-17,1,Q1 2017,2017,201701
01-30-17,1,Q1 2017,2017,201701
01-31-17,1,Q1 2017,2017,201701
02-01-17,2,Q1 2017,2017,201702
02-02-17,2,Q1 2017,2017,201702
02-03-17,2,Q1 2017,2017,201702
02-04-17,2,Q1 2017,2017,201702
02-05-17,2,Q1 2017,2017,201702
02-06-17,2,Q1 2017,2017,201702
02-07-17,2,Q1 2017,2017,201702
02-08-17,2,Q1 2017,2017,201702
02-09-17,2,Q1 2017,2017,201702
02-10-17,2,Q1 2017,2017,201702
02-11-17,2,Q1 2017,2017,201702
02-12-17,2,Q1 2017,2017,201702
02-13-17,2,Q1 2017,2017,201702
02-14-17,2,Q1 2017,2017,201702
02-15-17,2,Q1 2017,2017,201702
02-16-17,2,Q1 2017,2017,201702
02-17-17,2,Q1 2017,2017,201702
02-18-17,2,Q1 2017,2017,201702
02-19-17,2,Q1 2017,2017,201702
02-20-17,2,Q1 2017,2017,201702
02-21-17,2,Q1 2017,2017,201702
02-22-17,2,Q1 2017,2017,201702
02-23-17,2,Q1 2017,2017,201702
02-24-17,2,Q1 2017,2017,201702
02-25-17,2,Q1 2017,2017,201702
02-26-17,2,Q1 2017,2017,201702
02-27-17,2,Q1 2017,2017,201702
02-28-17,2,Q1 2017,2017,201702
03-01-17,3,Q1 2017,2017,201703
03-02-17,3,Q1 2017,2017,201703
03-03-17,3,Q1 2017,2017,201703
03-04-17,3,Q1 2017,2017,201703
03-05-17,3,Q1 2017,2017,201703
03-06-17,3,Q1 2017,2017,201703
03-07-17,3,Q1 2017,2017,201703
03-08-17,3,Q1 2017,2017,201703
03-09-17,3,Q1 2017,2017,201703
03-10-17,3,Q1 2017,2017,201703
03-11-17,3,Q1 2017,2017,201703
03-12-17,3,Q1 2017,2017,201703
03-13-17,3,Q1 2017,2017,201703
03-14-17,3,Q1 2017,2017,201703
03-15-17,3,Q1 2017,2017,201703
03-16-17,3,Q1 2017,2017,201703
03-17-17,3,Q1 2017,2017,201703
03-18-17,3,Q1 2017,2017,201703
03-19-17,3,Q1 2017,2017,201703
03-20-17,3,Q1 2017,2017,201703
03-21-17,3,Q1 2017,2017,201703
03-22-17,3,Q1 2017,2017,201703
03-23-17,3,Q1 2017,2017,201703
03-24-17,3,Q1 2017,2017,201703
03-25-17,3,Q1 2017,2017,201703
03-26-17,3,Q1 2017,2017,201703
03-27-17,3,Q1 2017,2017,201703
03-28-17,3,Q1 2017,2017,201703
03-29-17,3,Q1 2017,2017,201703
03-30-17,3,Q1 2017,2017,201703
03-31-17,3,Q1 2017,2017,201703
04-01-17,4,Q2 2017,2017,201704
04-02-17,4,Q2 2017,2017,201704
04-03-17,4,Q2 2017,2017,201704
04-04-17,4,Q2 2017,2017,201704
04-05-17,4,Q2 2017,2017,201704
04-06-17,4,Q2 2017,2017,201704
04-07-17,4,Q2 2017,2017,201704
04-08-17,4,Q2 2017,2017,201704
04-09-17,4,Q2 2017,2017,201704
04-10-17,4,Q2 2017,2017,201704
04-11-17,4,Q2 2017,2017,201704
04-12-17,4,Q2 2017,2017,201704
04-13-17,4,Q2 2017,2017,201704
04-14-17,4,Q2 2017,2017,201704
04-15-17,4,Q2 2017,2017,201704
04-16-17,4,Q2 2017,2017,201704
04-17-17,4,Q2 2017,2017,201704
04-18-17,4,Q2 2017,2017,201704
04-19-17,4,Q2 2017,2017,201704
04-20-17,4,Q2 2017,2017,201704
04-21-17,4,Q2 2017,2017,201704
04-22-17,4,Q2 2017,2017,201704
04-23-17,4,Q2 2017,2017,201704
04-24-17,4,Q2 2017,2017,201704
04-25-17,4,Q2 2017,2017,201704
04-26-17,4,Q2 2017,2017,201704
04-27-17,4,Q2 2017,2017,201704
04-28-17,4,Q2 2017,2017,201704
04-29-17,4,Q2 2017,2017,201704
04-30-17,4,Q2 2017,2017,201704
05-01-17,5,Q2 2017,2017,201705
05-02-17,5,Q2 2017,2017,201705
05-03-17,5,Q2 2017,2017,201705
05-04-17,5,Q2 2017,2017,201705
05-05-17,5,Q2 2017,2017,201705
05-06-17,5,Q2 2017,2017,201705
05-07-17,5,Q2 2017,2017,201705
05-08-17,5,Q2 2017,2017,201705
05-09-17,5,Q2 2017,2017,201705
05-10-17,5,Q2 2017,2017,201705
05-11-17,5,Q2 2017,2017,201705
05-12-17,5,Q2 2017,2017,201705
05-13-17,5,Q2 2017,2017,201705
05-14-17,5,Q2 2017,2017,201705
05-15-17,5,Q2 2017,2017,201705
05-16-17,5,Q2 2017,2017,201705
05-17-17,5,Q2 2017,2017,201705
05-18-17,5,Q2 2017,2017,201705
05-19-17,5,Q2 2017,2017,201705
05-20-17,5,Q2 2017,2017,201705
05-21-17,5,Q2 2017,2017,201705
05-22-17,5,Q2 2017,2017,201705
05-23-17,5,Q2 2017,2017,201705
05-24-17,5,Q2 2017,2017,201705
05-25-17,5,Q2 2017,2017,201705
05-26-17,5,Q2 2017,2017,201705
05-27-17,5,Q2 2017,2017,201705
05-28-17,5,Q2 2017,2017,201705
05-29-17,5,Q2 2017,2017,201705
05-30-17,5,Q2 2017,2017,201705
05-31-17,5,Q2 2017,2017,201705
06-01-17,6,Q2 2017,2017,201706
06-02-17,6,Q2 2017,2017,201706
06-03-17,6,Q2 2017,2017,201706
06-04-17,6,Q2 2017,2017,201706
06-05-17,6,Q2 2017,2017,201706
06-06-17,6,Q2 2017,2017,201706
06-07-17,6,Q2 2017,2017,201706
06-08-17,6,Q2 2017,2017,201706
06-09-17,6,Q2 2017,2017,201706
06-10-17,6,Q2 2017,2017,201706
06-11-17,6,Q2 2017,2017,201706
06-12-17,6,Q2 2017,2017,201706
06-13-17,6,Q2 2017,2017,201706
06-14-17,6,Q2 2017,2017,201706
06-15-17,6,Q2 2017,2017,201706
06-16-17,6,Q2 2017,2017,201706
06-17-17,6,Q2 2017,2017,201706
06-18-17,6,Q2 2017,2017,201706
06-19-17,6,Q2 2017,2017,201706
06-20-17,6,Q2 2017,2017,201706
06-21-17,6,Q2 2017,2017,201706
06-22-17,6,Q2 2017,2017,201706
06-23-17,6,Q2 2017,2017,201706
06-24-17,6,Q2 2017,2017,201706
06-25-17,6,Q2 2017,2017,201706
